cv_type,cta_title,cta_steps
broker,海外FX口座を作って条件を揃える,ステップ1 口座条件を確認|ステップ2 取引環境を揃える|ステップ3 小ロットで検証
line,LINEで危険回避チェックを受け取る,ステップ1 友だち追加|ステップ2 チェックリスト取得|ステップ3 危険サインを確認
discord,Discordで検証テンプレを使う,ステップ1 参加|ステップ2 検証シート取得|ステップ3 記録して改善
